x,y,z
0,0,0
0,0,4.8
0,0,9.6
0,0,14.4
4.8,0,0
4.8,0,4.8
4.8,0,9.6
4.8,0,14.4
9.6,0,0
9.6,0,4.8
9.6,0,9.6
9.6,0,14.4
14.4,0,0
14.4,0,4.8
14.4,0,9.6
14.4,0,14.4
0,4.8,0
0,4.8,4.8
0,4.8,9.6
0,4.8,14.4
4.8,4.8,0
4.8,4.8,4.8
4.8,4.8,9.6
4.8,4.8,14.4
9.6,4.8,0
9.6,4.8,4.8
9.6,4.8,9.6
9.6,4.8,14.4
14.4,4.8,0
14.4,4.8,4.8
14.4,4.8,9.6
14.4,4.8,14.4
0,9.6,0
0,9.6,4.8
0,9.6,9.6
0,9.6,14.4
4.8,9.6,0
4.8,9.6,4.8
4.8,9.6,9.6
4.8,9.6,14.4
9.6,9.6,0
9.6,9.6,4.8
9.6,9.6,9.6
9.6,9.6,14.4
14.4,9.6,0
14.4,9.6,4.8
14.4,9.6,9.6
14.4,9.6,14.4
0,14.4,0
0,14.4,4.8
0,14.4,9.6
0,14.4,14.4
4.8,14.4,0
4.8,14.4,4.8
4.8,14.4,9.6
4.8,14.4,14.4
9.6,14.4,0
9.6,14.4,4.8
9.6,14.4,9.6
9.6,14.4,14.4
14.4,14.4,0
14.4,14.4,4.8
14.4,14.4,9.6
14.4,14.4,14.4
2.4,2.4,5.86
12,12,5.86
12,2.4,10.66
2.4,12,10.66
